CURSO;CIENCIA
BIOLOGICAS;BIOLOGICAS
ZOOLOGIA;BIOLOGICAS
AGRONOMIA;BIOLOGICAS
RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;BIOLOGICAS
CIÊNCIAS AMBIENTAIS;BIOLOGICAS
BIOLOGIA GERAL;BIOLOGICAS
FARMACOLOGIA;BIOLOGICAS
FISIOLOGIA;BIOLOGICAS
PARASITOLOGIA;BIOLOGICAS
FONOAUDIOLOGIA;BIOLOGICAS
ENFERMAGEM;BIOLOGICAS
FARMÁCIA;BIOLOGICAS
MEDICINA;BIOLOGICAS
MEDICINA VETERINÁRIA;BIOLOGICAS
NUTRIÇÃO;BIOLOGICAS
SAÚDE COLETIVA;BIOLOGICAS
RECURSOS PESQUEIROS E ENGENHARIA DE PESCA;BIOLOGICAS
ARQUITETURA E URBANISMO;EXATAS
DESENHO INDUSTRIAL;EXATAS
ASTRONOMIA;EXATAS
FÍSICA;EXATAS
BIOTECNOLOGIA;EXATAS
CIÊNCIA DA INFORMAÇÃO;EXATAS
ENGENHARIA DE TRANSPORTES;EXATAS
ENGENHARIA NUCLEAR;EXATAS
ENGENHARIA BIOMÉDICA;EXATAS
ENGENHARIA ELÉTRICA;EXATAS
MATEMÁTICA;EXATAS
DEMOGRAFIA;EXATAS
QUÍMICA;EXATAS
ADMINISTRAÇÃO;HUMANAS
TURISMO;HUMANAS
ARTES;HUMANAS
CIÊNCIA POLÍTICA;HUMANAS
MORFOLOGIA;HUMANAS
TEOLOGIA;HUMANAS
EDUCAÇÃO;HUMANAS
LETRAS;HUMANAS
PSICOLOGIA;HUMANAS
SERVIÇO SOCIAL;HUMANAS
SOCIOLOGIA;HUMANAS
